elapsed_ms,rss_mb_decimal,pss_mb_decimal,gpu_memory_mb_decimal,total_memory_mb_decimal,cgroup_memory_mb_decimal
0.0,1288.62208,1283.315712,0.0,1288.62208,26949.177344
94.546828,1288.62208,1283.315712,0.0,1288.62208,26949.16096
187.76454,1288.62208,1283.315712,0.0,1288.62208,26949.12
279.997112,1288.62208,1283.315712,0.0,1288.62208,26949.34528
372.545455,1288.62208,1283.315712,0.0,1288.62208,26949.390336
467.13562,1288.62208,1283.315712,0.0,1288.62208,26949.083136
562.119608,1288.62208,1283.315712,0.0,1288.62208,26949.029888
654.769385,1288.62208,1283.315712,0.0,1288.62208,26949.013504
749.696677,1288.62208,1283.315712,0.0,1288.62208,26948.99712
842.666459,1288.62208,1283.315712,0.0,1288.62208,26949.144576
934.789152,1288.62208,1283.315712,0.0,1288.62208,26949.128192
1027.508712,1288.62208,1283.315712,0.0,1288.62208,26949.111808
1122.375847,1288.62208,1283.315712,0.0,1288.62208,26949.095424
1215.425683,1288.62208,1283.315712,0.0,1288.62208,26949.07904
1307.741651,1288.62208,1283.315712,0.0,1288.62208,26949.3248
1400.344062,1288.62208,1283.315712,0.0,1288.62208,26949.57056
1495.312625,1288.62208,1283.315712,0.0,1288.62208,26949.554176
1588.07135,1288.62208,1283.315712,0.0,1288.62208,26949.799936
1680.441354,1288.62208,1283.315712,0.0,1288.62208,26949.783552
1776.679535,1288.62208,1283.315712,0.0,1288.62208,26949.767168
1869.662269,1288.62208,1283.315712,0.0,1288.62208,26949.750784
1962.149514,1288.62208,1283.315712,0.0,1288.62208,26949.7344
2054.78529,1288.62208,1283.315712,0.0,1288.62208,26949.718016
2149.675419,1288.62208,1283.315712,0.0,1288.62208,26949.701632
2242.344748,1288.62208,1283.315712,0.0,1288.62208,26949.685248
2334.967877,1288.62208,1283.315712,0.0,1288.62208,26949.668864
2427.452169,1288.62208,1283.315712,0.0,1288.62208,26949.65248
2522.783993,1288.62208,1283.315712,0.0,1288.62208,26949.61152
2615.757993,1288.62208,1283.315712,0.0,1288.62208,26949.59104
2708.176422,1288.62208,1283.315712,0.0,1288.62208,26949.09952
2804.753996,1288.62208,1283.315712,0.0,1288.62208,26948.56704
2897.740152,1288.62208,1283.315712,0.0,1288.62208,26948.390912
2989.767948,1288.62208,1283.315712,0.0,1288.62208,26948.640768
3082.336678,1288.62208,1283.315712,0.0,1288.62208,26949.16096
3177.4308,1288.62208,1283.315712,0.0,1288.62208,26948.890624
3270.223433,1288.62208,1283.315712,0.0,1288.62208,26948.612096
3362.740521,1288.62208,1283.315712,0.0,1288.62208,26949.128192
3455.943459,1288.62208,1283.315712,0.0,1288.62208,26948.845568
3551.511151,1288.62208,1283.315712,0.0,1288.62208,26949.103616
3646.445512,1288.62208,1283.315712,0.0,1288.62208,26948.79232
3741.582541,1288.62208,1283.315712,0.0,1288.62208,26948.763648
3834.403964,1288.62208,1283.315712,0.0,1288.62208,26948.747264
3926.610135,1288.62208,1283.315712,0.0,1288.62208,26948.73088
4019.60547,1288.62208,1283.315712,0.0,1288.62208,26948.964352
4115.48323,1288.62208,1283.315712,0.0,1288.62208,26948.64896
4207.992826,1288.62208,1283.315712,0.0,1288.62208,26949.14048
4300.352889,1288.62208,1283.315712,0.0,1288.62208,26949.111808
4394.653469,1288.62208,1283.315712,0.0,1288.62208,26949.074944
4490.137147,1288.62208,1283.315712,0.0,1288.62208,26948.276224
4582.572871,1288.62208,1283.315712,0.0,1288.62208,26948.390912
4676.680182,1288.62208,1283.315712,0.0,1288.62208,26948.616192
