elapsed_ms,rss_mb_decimal,pss_mb_decimal,gpu_memory_mb_decimal,total_memory_mb_decimal,cgroup_memory_mb_decimal
0.0,917.880832,912.575488,0.0,917.880832,42179.825664
101.687159,917.880832,912.575488,0.0,917.880832,42179.305472
201.737127,917.880832,912.575488,0.0,917.880832,42179.207168
295.445734,917.880832,912.575488,0.0,917.880832,42179.063808
390.014259,917.880832,912.575488,0.0,917.880832,42179.018752
484.287362,917.880832,912.575488,0.0,917.880832,42179.006464
580.590299,917.880832,912.575488,0.0,917.880832,42178.99008
677.710071,917.880832,912.575488,0.0,917.880832,42179.252224
774.646003,917.880832,912.575488,0.0,917.880832,42179.428352
869.981515,917.880832,912.575488,0.0,917.880832,42179.633152
964.597307,917.880832,912.575488,0.0,917.880832,42179.616768
1061.742981,917.880832,912.575488,0.0,917.880832,42179.629056
1156.091021,917.880832,912.575488,0.0,917.880832,42179.354624
1253.464641,917.880832,912.575488,0.0,917.880832,42179.190784
1347.586961,917.880832,912.575488,0.0,917.880832,42179.1744
1444.747644,917.880832,912.575488,0.0,917.880832,42179.190784
1539.228093,917.880832,912.575488,0.0,917.880832,42179.1744
1634.607734,917.880832,912.575488,0.0,917.880832,42178.736128
1729.800602,917.880832,912.575488,0.0,917.880832,42178.719744
1823.050041,917.880832,912.575488,0.0,917.880832,42178.965504
1918.683927,917.880832,912.575488,0.0,917.880832,42178.94912
2012.941666,917.880832,912.575488,0.0,917.880832,42178.932736
2104.508418,917.880832,912.575488,0.0,917.880832,42178.916352
2199.731249,917.880832,912.575488,0.0,917.880832,42179.121152
2296.199121,917.880832,912.575488,0.0,917.880832,42179.104768
2387.63035,917.880832,912.575488,0.0,917.880832,42179.088384
2480.507042,917.880832,912.575488,0.0,917.880832,42179.072
2575.11601,917.880832,912.575488,0.0,917.880832,42179.055616
2666.791204,917.880832,912.575488,0.0,917.880832,42179.039232
2758.087747,917.880832,912.575488,0.0,917.880832,42179.022848
2849.385178,917.880832,912.575488,0.0,917.880832,42179.006464
2940.568855,917.880832,912.575488,0.0,917.880832,42178.99008
3032.149454,917.880832,912.575488,0.0,917.880832,42179.002368
3131.29407,917.880832,912.575488,0.0,917.880832,42179.268608
3226.094889,917.880832,912.575488,0.0,917.880832,42179.268608
3327.731074,917.880832,912.575488,0.0,917.880832,42179.2768
3424.729387,917.880832,912.575488,0.0,917.880832,42179.272704
